location_page_url,location_address,location_city,location_state,location_zip,nearby_place
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Portland is the largest city in Oregon, United States, located at the confluence of the Willamette and Columbia rivers.
Industry: Portland's economy is largely based on technology, tourism, manufacturing, and services.
Website Address: www.portlandoregon.gov
Services & Products: Tourism, culture, education, healthcare, services, events, commerce, trade, finance, retail, food and beverage.
Address: Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Courtyard by Marriott Portland Downtown/Convention Center is a deluxe 4-star hotel located in the heart of Portland, Oregon.
Industry: Lodging & Hospitality 
Website Address: https://www.marriott.com/hotels/travel/pdxpd-courtyard-portland-downtown-convention-center/ 
Services & Products: Accommodations, Meeting & Event Spaces, Restaurant & Bar, Fitness Center & Pool, Shuttle Service.
Address: 435 Northeast Wasco Street, Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Quality Inn Downtown Convention Center is a hotel conveniently located in the heart of Portland. It offers comfortable, customer-oriented accommodations and easy access to popular attractions in the city. 
Industry: Hospitality
Website Address: www.choicehotels.com/oregon/portland/quality-inn-hotels/or114
Services & Products: Complimentary breakfast and Wi-Fi, complimentary remote printing service, 24-hour business center, fitness center, on-site dining options, rooms with flat screen TVs, in-room coffee makers, microwaves and refrigerators, meeting & event services, shuttle service, pet-friendly rooms.
Address: 431 Northeast Multnomah Street, Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Oregon Convention Center is the largest event and meeting venue in the Pacific Northwest. Located in Portland, the center offers over 100,000 square feet of flexible event space for conferences, trade shows and corporate events.
Industry: Events and Venues 
Website Address: http://www.oregoncc.org/ 
Services & Products: Meeting Space, Conference Rooms, Exhibitors Halls, Catering Services, Event Planning Services, Audio Visual Equipment.
Address: 777 Northeast Martin Luther King Junior Boulevard, Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Motel 6 Portland, OR - Downtown is an inviting hotel conveniently located in the heart of Portland.
Industry: Hospitality / Accommodation
Website Address: www.motel6.com/en/motels.or.portland-downtown.518.html
Services & Products: Accommodation, Pet Friendly Rooms, 24 hour reception desk, Wifi, TV, Coffee Makers, Free Morning Coffee, Micro-Fridge Units.
Address: 518 Northeast Holladay Street, Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Spirit of 77 is a sports bar and arcade located in downtown Portland, Oregon. 
Industry: Eating & Drinking Places, Amusement & Recreation Services
Website Address: https://www.spiritof77pdx.com/
Services & Products: Arcade games, darts, air hockey, pinball, pool tables, shuffleboard, bowling, food & drinks, DJ nights, trivia nights, live music shows, karaoke, televised sports.
Address: 500 Northeast Martin Luther King Junior Boulevard, Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Burgerville is a family-owned and operated restaurant chain established in 1961 in the state of Oregon. 
Industry: The restaurant industry 
Website Address: https://www.burgerville.com/
Services & Products: Burgers, salads, milkshakes, smoothies, fries, hand-spun shakes, breakfast sandwiches, and more.
Address: 1135 Northeast Martin Luther King Junior Boulevard, Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Red Robin Gourmet Burgers and Brews is a casual dining restaurant chain, located in 1139 Northeast Grand Avenue, Portland. 
Industry: Restaurant Chain 
Website Address: www.redrobin.com
Services & Products: Burgers, Sandwiches, Salads, Kids Meals, Bottomless Beverages, Appetizers, Desserts, Shakes and Malts, Beer and Cocktails.
Address: 1139 Northeast Grand Avenue, Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Fidelity National Title is a title and escrow services provider, helping buyers and sellers maintain their property rights in all 50 states.
Industry: Real Estate
Website Address: www.fntic.com
Services & Products: Title Insurance, Escrow, Closing Services, Document Preparation, 24/7 Support & Research, Customer Relationship Management, Real Estate Data & Analytics.
Address: 717 Northeast Holladay Street, Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: See Woo MD | Kaiser Permanente is a medical clinic in Portland, Oregon that specializes in providing high-quality healthcare services and products. 
Industry: Healthcare 
Website Address: www.kaiserpermanente.org/
Services & Products: primary care, preventative care, disease management, patient education, lab testing, imaging, prescription refills, after-hours care, mental health services
Address: 500 Northeast Multnomah Street, Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Cardtronics ATM is an automated teller machine (ATM) located at 777 Northeast Martin Luther King Junior Boulevard, Portland. 
Industry: Cardtronics is a financial services company that specializes in providing ATMs and other cash access solutions.
Website Address: www.cardtronics.com
Services & Products: ATM installation, cash-dispensing ATMs, card acceptance services, digital signage, payment processing, global ATM support, ATM-as-a-Service.
Address: 777 Northeast Martin Luther King Junior Boulevard, Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Metropolitan Exposition is a full-service exposition company located in Portland, OR. 
Industry: Metropolitan Exposition specializes in providing strategically planned and managed trade show events for its clients.
Website Address: www.metropolitanexposition.com
Services & Products: exhibit design and fabrication, exhibit installation, booth layout design, expo coordination, event consultations, and project management services.
Address: 777 Northeast Martin Luther King Junior Boulevard, Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Portland Coffee Roasters is a coffee roasting company based in Portland, Oregon. 
Industry: Coffee roasting, specialty coffee. 
Website Address: https://www.portlandcoffeeroasters.com/ 
Services & Products: High-quality coffee beans, delicious specialty drinks, cold brewed coffee and tea, online ordering, custom blends, green coffee sourcing, monthly subscription service.
Address: 777 Northeast Martin Luther King Junior Boulevard, Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Metro Maps & Data is a professional mapping and data services provider located in Portland, Oregon. 
Industry: Geographic Information Services; Cartography; Data Analysis 
Website Address: http://www.metromapsdata.com/
Services & Products: Customized maps, GIS data development and analysis, website design, cartographic support, graphic design, 3-D representations, story mapping, outreach tools, site selection tools.
Address: 600 Northeast Grand Avenue, Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Diana Fitzpatrick, MD, MPH is a physician in Portland, Oregon. She has a Master's of Public Health and specializes in Pediatrics, Cardiology, and Sleep Medicine. 
Industry: Healthcare 
Website Address: https://www.caremarkservices.com/provider/diana-fitzpatrick-md-mph-97204/
Services & Products: Pediatrics, Cardiology, Sleep Medicine, Preventative Health Care, Primary Care, Women's Health
Address: 700 Northeast Multnomah Street #1600, Portland"
https://www.adammoro.com/junk/location-pages/1.html,900 Martin Luther King Ave.,Portland,OR,97211,"Description: Permanente Dental Associates, P.C. is a dental clinic located on 500 Northeast Multnomah Street #100 in Portland, Oregon.
Industry: Health Care
Website Address: https://www.pdxpermanentedental.com/
Services & Products: Cosmetic Dentistry, Preventive Care, Oral Surgery and Implants, Orthodontic Treatments, Restorative and Reconstructive Dentistry, Endodontics, Periodontal Treatments, Invisalign Clear Braces, Digital X-ray Imaging.
Address: 500 Northeast Multnomah Street #100, Portland"
